行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.82647,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.05595,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.28314,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,0.34414,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.07578,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.04852,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.21142,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,1.50828,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.49764,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.04182,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.56356,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,1.40815,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.08901,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,1.06246,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,0.47952,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.82942,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,1.94242,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.59208,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.05431,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,开发区公共绿地项目,廊坊经济技术开发区,0.57327,公园与绿地,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局,,2020年6月28日,,,
廊坊市本级,代征沟渠,廊坊经济技术开发区,0.15343,沟渠,划拨,,公共设施管理业,0,廊坊经济技术开发区公用事业管理局划拨,,2020年6月28日,,,
固安县,固安县建城房地产开发有限公司项目用地,主三路南侧、主七路东侧,3.344892,城镇住宅用地,拍卖出让,70,房地产业,9900,固安县建城房地产开发有限公司,1.001.50,2020年6月24日,2021年8月23日,2024年8月22日,
固安县,固安县建城房地产开发有限公司项目用地,主三路南侧、主七路东侧,6.17153,城镇住宅用地,拍卖出让,70,房地产业,18100,固安县建城房地产开发有限公司,1.001.50,2020年6月24日,2021年8月23日,2024年8月22日,
三河市,燕郊高新区YJ2019-018号地块住宅项目,燕郊康城大街南侧、燕灵南路西侧,2.44876,城镇住宅用地,挂牌出让,70,房地产业,54500,港中旅房地产开发有限公司,1.001.80,2020年6月24日,2021年8月31日,2024年8月31日,
三河市,御东晟璟项目,尹家沟北侧、东新路西侧,4.3946,城镇住宅用地,挂牌出让,70,房地产业,43600,三河市众诚易达房地产开发有限公司,1.001.50,2020年6月24日,2021年8月31日,2024年8月31日,
香河县,商业用地,大香线东侧、和园路南侧,0.210463,其他商服用地,拍卖出让,40,房地产业,505,中冶置业集团香河名鑫房地产开发有限公司,2,2020年6月24日,2021年6月24日,2023年6月23日,
香河县,商业用地,大香线东侧、和园路南侧,1.64916,其他商服用地,拍卖出让,40,房地产业,3945,中冶置业集团香河名鑫房地产开发有限公司,2,2020年6月24日,2021年6月24日,2023年6月23日,
三河市,紫竹湾项目,神威北大街南侧、汉王路东侧,5.2714,城镇住宅用地,招标出让,70,房地产业,54558.3,三河市兆龙佳业房地产开发有限公司,1.001.50,2020年6月22日,2021年8月31日,2024年8月31日,
三河市,尚璟花园小区,尹家沟北侧、东新路西侧,4.7539,城镇住宅用地,招标出让,70,房地产业,47110,三河市盛跃房地产开发有限公司,1.001.50,2020年6月22日,2021年8月31日,2024年8月31日,
三河市,尚璟花园小区,西辛营村南侧、东五路东侧,3.5959,城镇住宅用地,招标出让,70,房地产业,35635,三河市盛跃房地产开发有限公司,1.001.50,2020年6月22日,2021年8月31日,2024年8月31日,
香河县,工业用地,规划S3路北侧，规划W4路西侧,2.152321,工业用地,拍卖出让,50,通讯设备、计算机及其他电子设备制造业,1688,香河天德科技有限公司,1.201.50,2020年6月19日,2021年6月19日,2023年6月18日,
霸州市,新建霸州市第四幼儿园,胜芳镇红光街，112国道以北，中亭河以南，廊泊路以西,1.4874,教育用地,划拨,,教育业,368.0155,霸州市胜芳镇红光小学,1,2020年6月15日,2021年9月13日,2023年9月12日,
三河市,三河市岩峰市政工程建筑安装有限公司,北环路南侧，密三路东侧，精工园街北侧,0.154255,工业用地,协议出让,2058年10月21日止,其它,87,三河市岩峰高新技术产业园有限公司,,2020年6月15日,,,
三河市,润德学校（二期）,神威北大街北侧、中心路东侧,1.66852,教育用地,协议出让,50,教育业,4681,三河市润德教育科技有限公司,0.9,2020年6月14日,2021年9月29日,2024年9月28日,
三河市,铭泰慧谷（三河）孵化器有限公司科技型中小企业孵化基地项目,工园路西侧、贤人街北侧,3.9291,工业用地,挂牌出让,50,专用设备制造业,3000,铭泰慧谷（三河）孵化器有限公司,1.2,2020年6月12日,2021年6月1日,2023年5月31日,
霸州市,年产60万吨彩涂板、40万吨镀锡板项目,段乡牛百万村，辛章六村，胜芳东环路东侧、霸扬岔公路南侧,0.6097,工业用地,挂牌出让,50,金属制品业,337,河北兆建金属制品有限公司,1.2,2020年6月12日,2021年8月9日,2023年8月7日,
安次区,廊坊市亚恒再生资源回收有限公司年拆解三万台报废汽车项目,安次区东沽港镇码得线东侧,3.396004,公用设施用地,拍卖出让,50,废弃资源和废旧材料回收加工业,1780,廊坊市亚恒再生资源回收有限公司,0.000.80,2020年6月12日,2021年7月12日,2023年7月11日,
三河市,三河精工园厂房及生产服务配套设施三期项目,幸福路西侧、贤人街北侧,0.28157,工业用地,挂牌出让,45,专用设备制造业,210,三河市岩峰高新技术产业园有限公司,1.2,2020年6月12日,2021年6月1日,2023年5月31日,
