行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
 肥东县,  肥东县教育体育局合肥市四十八中肥东校区建设项目,  撮镇镇池河路南、汊河路西,5.9639,  教育用地,  划拨,  ,  教育业,881.4341,  肥东县教育体育局,1,2020年5月18日,2020年8月18日,2022年8月18日,
 合肥市本级,  鲁班路,  合肥新站区北至龙子湖路、南至关井路,3.014734,  城镇村道路用地,  划拨,  ,  房地产业,  ,  合肥新创投资控股有限公司,  ,2020年5月18日,2020年8月17日,2021年8月17日,
 合肥市本级,  瑶海区南淝河初期雨水截留调蓄项目,  合肥市瑶海区滨河路以北，郎溪路以西,3.007993,  公用设施用地,  划拨,  ,  国家机构,  ,  合肥市瑶海区园林绿化管理中心,  ,2020年5月18日,2020年9月18日,2021年9月18日,
 合肥市本级,  张高复建点,  合肥市瑶海区丰乐亭路以南，大众路以西,7.16089,  城镇住宅用地,  划拨,  ,  房地产业,  ,  合肥市复兴置业投资有限公司,1,2020年5月18日,2020年7月17日,2021年7月17日,
 合肥市本级,  瑶海区二十埠河初期雨水调蓄工程-临泉路调蓄站,  合肥市瑶海区凤阳东路以北，牌坊路以东，临泉路以南,1.069517,  公用设施用地,  划拨,  ,  国家机构,  ,  合肥市瑶海区园林绿化管理中心,  ,2020年5月18日,2020年9月19日,2021年9月19日,
 合肥市本级,  上海路二期瑶海段,  合肥市瑶海区裕溪路-锦绣大道（瑶海段）,1.2581,  城镇村道路用地,  划拨,  ,  公共设施管理业,  ,  合肥市建设投资控股（集团）有限公司,  ,2020年5月18日,2020年9月18日,2021年9月18日,
 合肥市本级,  上海中建申拓投资发展有限公司,  合肥新站高新区学府路以南、相城路以西,13.35545,  城镇住宅用地,  招标出让,70,  房地产业,31572.2838,  上海中建申拓投资发展有限公司?,  1.002.50,2020年5月15日,2020年9月15日,2022年9月15日,
 合肥市本级,  安徽华熙云珠房地产开发有限公司,  安超经开区金巢大道与亚父路交口东南侧,9.934951,  城镇住宅用地,  拍卖出让,70,  房地产业,32708.8098,  安徽华熙云珠房地产开发有限公司?,  1.002.00,2020年5月15日,2021年1月15日,2023年1月15日,
 合肥市本级,  上海中建申拓投资发展有限公司,  合肥新站高新区学府路以南、相城路以东,9.270387,  城镇住宅用地,  招标出让,70,  房地产业,21915.1949,  上海中建申拓投资发展有限公司?,  1.002.20,2020年5月15日,2020年9月15日,2022年7月15日,
 合肥市本级,  上海中建申拓投资发展有限公司,  合肥新站高新区大众路以东、龙子湖路以北,9.760728,  城镇住宅用地,  招标出让,70,  房地产业,23074.361,  上海中建申拓投资发展有限公司?,  1.002.20,2020年5月15日,2020年9月15日,2022年7月15日,
 合肥市本级,  吉林路（花园大道—黄河路）,  合肥市包河区,1.686516,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥市包河区住房和城乡建设局,  ,2020年5月13日,2020年8月12日,2021年8月12日,
 长丰县,  中央公园E地块幼儿园,  双墩镇,0.5749,  教育用地,  划拨,  ,  中国共产党机关,  ,  长丰县教育体育局,  0.750.75,2020年5月8日,2020年9月1日,2021年9月1日,
 长丰县,  中央公园F地块幼儿园,  双墩镇,0.5463,  教育用地,  划拨,  ,  中国共产党机关,  ,  长丰县教育体育局,  0.790.79,2020年5月8日,2020年9月1日,2021年9月1日,
 肥西县,  蓬一蓬二连接线工程,  紫蓬镇,1.33198,  公路用地,  划拨,  ,  道路运输业,  ,  紫蓬镇人民政府,1,2020年4月30日,2020年6月25日,2021年12月31日,
 肥西县,  王祠生态停车场,  官亭镇,1.3334,  公用设施用地,  划拨,  ,  公共设施管理业,  ,  官亭镇人民政府,1,2020年4月30日,2020年6月25日,2021年12月30日,
 肥西县,  何郢路南延,  花岗镇,0.98993,  公路用地,  划拨,  ,  道路运输业,  ,  ?,1,2020年4月30日,2020年6月18日,2021年12月31日,
 肥西县,  马店社区村级活动场所,  官亭镇,0.1,  公用设施用地,  划拨,  ,  公共设施管理业,  ,  官亭镇人民政府,1,2020年4月30日,2020年6月25日,2021年12月30日,
 肥西县,  五四社区安置点,  高店乡,9.9997,  城镇住宅用地,  划拨,  ,  房地产业,  ,  高店乡人民政府,1,2020年4月30日,2020年6月25日,2021年12月30日,
 肥西县,  规划路,  紫蓬镇,0.467033,  公路用地,  划拨,  ,  道路运输业,  ,  紫蓬镇人民政府,1,2020年4月30日,2020年6月25日,2021年12月31日,
 合肥市本级,  红卫南路（瓦东路-庆阳路）,  合肥经开区北区,1.003696,  城镇村道路用地,  划拨,  ,  公共设施管理业,  ,  合肥经开建设投资公司,  ,2020年4月30日,2020年8月30日,2021年8月30日,
 肥西县,  农作物秸秆综合利用,  官亭镇,0.8472,  公用设施用地,  划拨,  ,  公共设施管理业,  ,  官亭镇人民政府,1,2020年4月30日,2020年6月25日,2021年12月30日,
