行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
休宁县,齐云山镇污水处理厂,齐云山镇岩前村,0.118471,公用设施用地,划拨,,国家机构,23.69,黄山市生态环境局,0.1,2020年5月20日,2020年8月20日,2021年8月20日,
休宁县,溪口镇污水处理厂,溪口镇溪口村,0.444244,公用设施用地,划拨,,国家机构,88.8488,黄山市生态环境局,0.15,2020年5月20日,2020年8月20日,2021年8月20日,
休宁县,溪口镇石田污水处理厂,溪口镇石田村,0.094852,公用设施用地,划拨,,国家机构,18.9704,黄山市生态环境局,0.1,2020年5月20日,2020年8月20日,2021年8月20日,
休宁县,胜西小区安置房建设项目,休宁县海阳镇南街村,0.8113,城镇住宅用地,划拨,,国家机构,0,休宁县住房和城乡建设局,1.001.70,2020年5月20日,2020年8月20日,2022年8月20日,
休宁县,五城镇污水处理厂,五城镇古林村,0.373404,公用设施用地,划拨,,国家机构,74.6808,黄山市生态环境局,0.5,2020年5月20日,2020年8月20日,2021年8月20日,
黄山区,黄山市于志学艺术园补增,耿城镇,0.065452,其他商服用地,协议出让,32,住宿和餐饮业,40.18,黄山市于志学艺术园,0.901.20,2020年5月20日,2021年2月20日,2023年2月20日,
黄山区,黄山美太电子科技有限公司补增,黄山太平经开区,0.011239,工业用地,协议出让,38,制造业,1.08,黄山美太电子科技有限公司,,2020年5月20日,,,
歙县,老汽车站,深渡镇深渡社区,0.292486,其他商服用地,挂牌出让,40,公共设施管理业,210.5899,歙县城市建设投资开发有限公司,0.002.00,2020年5月19日,,,
歙县,原老粮站,深渡镇深渡社区,0.339771,其他商服用地,挂牌出让,40,公共设施管理业,229.3454,歙县城市建设投资开发有限公司,0.001.50,2020年5月19日,,,
黄山区,区档案馆大楼,甘棠镇,0.327764,文化设施用地,划拨,,国家机构,,黄山市黄山区档案馆,0.901.10,2020年5月19日,,,
黄山区,新华交通运输管理站补增,新华乡大保村,0.193451,交通服务场站用地,划拨,,国家机构,,黄山市黄山区交通运输局,,2020年5月19日,,,
歙县,原老药店,深渡镇深渡社区,0.014982,其他商服用地,挂牌出让,40,公共设施管理业,11.2365,歙县城市建设投资开发有限公司,0.002.00,2020年5月19日,,,
歙县,原粮食上转站,深渡镇深渡社区,0.041368,其他商服用地,挂牌出让,40,公共设施管理业,29.785,歙县城市建设投资开发有限公司,0.001.80,2020年5月19日,,,
歙县,原丝绸厂,深渡镇深渡社区,0.440023,其他商服用地,挂牌出让,40,公共设施管理业,231.0121,歙县城市建设投资开发有限公司,0.001.00,2020年5月19日,,,
歙县,原深渡老码头,深渡镇深渡社区,0.275578,其他商服用地,挂牌出让,40,公共设施管理业,198.4162,歙县城市建设投资开发有限公司,0.001.20,2020年5月19日,,,
歙县,原供销社,深渡镇深渡社区,0.167167,其他商服用地,挂牌出让,40,公共设施管理业,150.4503,歙县城市建设投资开发有限公司,2,2020年5月19日,2020年11月30日,2021年11月30日,
黄山区,新华交通运输管理站边角地,新华乡大保村,0.095549,公园与绿地,划拨,,国家机构,,黄山市黄山区土地收购储备中心,,2020年5月19日,,,
黄山市本级,黄山市益田滨江旅游开发有限公司,屯溪老街南侧（滨江西路）地块,3.63579,其他商服用地,挂牌出让,40,文化艺术业,46671.0926,黄山市益田滨江旅游开发有限公司,0.89,2020年5月9日,2020年11月18日,2022年11月18日,
歙县,新溪口信用社,新溪口乡溪口村,0.0375,商务金融用地,挂牌出让,40,银行业,16.875,安徽歙县农村商业银行股份有限公司,0.002.10,2020年5月9日,2020年10月30日,2021年10月30日,
歙县,小川信用社,小川乡小川村,0.05,商务金融用地,挂牌出让,40,银行业,22.5,安徽歙县农村商业银行股份有限公司,0.001.60,2020年5月9日,2020年10月30日,2021年10月30日,
黄山市本级,黄山市富徽城市综合开发有限公司,新潭变电站南侧地块,1.665646,城镇住宅用地,挂牌出让,70,房地产业,10493.5698,黄山市富徽城市综合开发有限公司,1.001.75,2020年5月9日,2020年10月18日,2022年10月18日,
黄山市本级,杭州毓发实业有限公司,原绿洲宾馆地块,1.01239,城镇住宅用地,挂牌出让,70,房地产业,12179.0517,杭州毓发实业有限公司,1.001.40,2020年5月9日,2020年9月18日,2022年3月18日,
黄山市本级,占川河以南边角地A地块,黄山市屯溪区,0.33,城镇村道路用地,划拨,,国家机构,0,屯溪区住建局,0,2020年5月7日,,,
黄山市本级,占川河以南边角地B地块,黄山市屯溪区,0.0487,城镇村道路用地,划拨,,国家机构,0,屯溪区住建局,0,2020年5月7日,,,
黄山市本级,中国银联西侧道路,黄山经济开发区,0.0761,城镇村道路用地,划拨,,国家机构,0,黄山经济开发区管委会,0,2020年5月7日,,,
黄山市本级,黄龙大酒店西侧地块,黄山市屯溪区,0.2028,公园与绿地,划拨,,国家机构,0,屯溪区住建局,0,2020年5月7日,,,
黄山市本级,仙人洞新苑边角地B地块,黄山市屯溪区,0.0058,公园与绿地,划拨,,国家机构,0,屯溪区住建局,0,2020年5月7日,,,
黄山市本级,中国银联南侧道路,黄山经济开发区,0.2151,城镇村道路用地,划拨,,国家机构,0,黄山经济开发区管委会,0,2020年5月7日,,,
黄山市本级,百川路（部分）路段(边角地),黄山经济开发区,0.5026,城镇村道路用地,划拨,,国家机构,0,黄山经济开发区管委会,0,2020年5月7日,,,
